orthography,ipa
ابو,əbu
نوار,nəw:a:ɾ
ايش,e:ʃ
قال,gaːl
قال,ga:l
انك,ɪn:ək
بخير,bxei:ɾ
ان,ɪn
شاء,ʃa:
الله,ɫ:
الحمدلله,əlħəmdɪlɪl:a:
بفضل,bfʌdˤɪl
ربنا,ɾʌb:en
بس,bəs
انا,ənə
بسألك,bəsʔəlɪk
ايش,e:ʃ
قال,gaːl
على,ʕələ
وجعي,wədʒəʕ
ماقال,maːgaːl
شي,ʃei
المهم,almʊhɪm
سل,sʊl
الحمدلله,əlħəmdɪl:a:
على,ʕələ
كل,kʊl:ɪ
حال,ħaːl
المهم,almʊhɪm
ايش,e:ʃ
سار,sˤ:a:ɾ
في,fi
جواز,dʒʊwaːz
رضوان,ɾɪdˤwa:n
لسا,lɪsːə
ماسوينا,ma:səw:ei:nə
شي,ʃei
ياريت,ja:ɾei:t
تستعجلو,tɪstʌʕdʒɪlʊ
يامينا,jaːmiːnə
بدي,bɪd:ɪ
الحق,əlħʌg
اتطمن,ətˤ:m:ʌn
عليه,ʕəle:
بلاش,bəlaːʃ
من,mɪn
هدا,ha:ðə
الكلام,əlkəla:m
ي,jə
شيخ,ʃeiːx
الموت,əlmo:t
علينا,ʕəleinə
حق,ħʌg
يامينا,jaːmiːnə
المهم,almʊhɪm
نلحق,nɪlħʌg
امانينا,əmaːni:nə
ولا,wel:ə
لا,lʌʔ
بدي,bədːɪ
اتطمن,ətˤ:m:ʌn
عليه,ʕəle:
قبل,gəbɪl
مايلمني,ma:jlʊmːənɪ
التراب,t:ʊɾa:b
درويش,deɾwiʃ
مين,mi:n
اللي,əl:i
طلب,tˤələb
التاني,ətːaːni
للميدان,lɪlmei:da:n
انتا,ɪntə
اللي,l:i
طلبت,tˤəlʌbt
اجل,ədʒəl
خلاص,xəla:sˤ
سيبك,si:bək
من,mɪn
اللكلكة,əl:ʌkləkə
و,w
اللف,əlːʌf
و,w
الدوران,ədːəwəɾaːn
و,w
اليد,əljʌd:
الضعيفة,ədˤːəʕifə
ماتقدر,maːtɪgdəɾ
تشيل,tɪʃi:l
شوونك,ʃo:nək
قدام,gʊd:a:m
الرجال,əɾ:ɪdʒa:l
ايش,e:ʃ
تقصد,tɪgsˤʊd
يا,jə
غيس,ɣe:s
قصدي,gʌsˤdi
باين,ba:jɪn
خايف,xa:jɪf
والخوف,wəlxo:f
عماك,ʕəma:k
قاعد,ga:ʕɪd
تدور,tɪəw:ɪɾ
اي,əj:ɪ
عزر,ʕʊzʊɾ
عشان,ʕəʃa:n
تملص,tɪmlʊsˤ
خايف,xa:jɪf
تواجهني,tɪwa:dʒɪhnɪ
يا,jə
درويش,deɾwiʃ
خايف,xa:jɪf
ماعشت,maːʕɪʃt
ولا,wel:ə
كنت,kʊnt
المعلم,almʕl:ɪm
درويش,deɾwiʃ
مشكل,mɪʃkɪl
حارة,ħaːɾət
الشيخ,əʃ:e:x
ازا,ɪzə
اخاف,əxa:f
من,mɪn
واحد,wa:ħɪd
زيك,zʌj:ʌk
طيب,tˤej:ɪb
طيب,tˤej:ɪb
روق,ɾəwːɪg
ي,jə
درويش,deɾwiʃ
روق,ɾəwːɪg
اشرب,əʃɾəb
شاهي,ʃaːhə
انتا,ɪntə
اللي,əl:i
نسيت,nsi:t
انو,ɪn:u
عندك,ʕɪndək
ولد,wʌlʌd
اسمو,ɪsmʊ
ياسين,jaːsiːn
يبو,jəbʊ
ياسين,ja:si:n
اصحى,əsˤħə
اسمعك,əsməʕək
تاني,taːnɪ
تزهمني,tɪzhəmnɪ
وتقولي,wʊtgʊl:ɪ
يبو,jəbʊ
ياسين,ja:si:n
فاهم,fa:hɪm
يا,jə
واد,waːd
انا,ənə
ماعندي,ma:ʕɪndɪ
اولاد,əwla:d
يتركوا,jɪtɾʊku
ابوهم,əbu:hʊm
وهو,whʊw:ə
محتاجهم,mɪħta:dʒəhʊm
ويروحوا,wiɾu:ħʊ
يطاطيوا,jtˤatˤɪʔʊ
راسهم,ɾaːsəhʊm
لواحد,lɪwa:ħɪd
تاني,taːnɪ
فاهم,fa:hɪm
يواد,jəwaːd
مين,min
ابوك,əbuːk
انا,ənə
ولا,wel:ə
درويش,deɾwiʃ
انا,ənə
ابويا,əbu:jə
ابو,əbu
الشوش,aʃ:u:ʃ
اللي,əl:i
من,mɪn
يوم,jo:m
اتولت,ətwəlʌt:
ماكان,maːkaːn
يحب,jɪħʊb
احد,əħəd
يزهمو,jɪzhəmʊ
بأبو,bəbʊ
ياسين,ja:si:n
ولا,welə
هو,hʊw:ə
حب,ħʌb
يغير,jɪɣəjːɪɾ
اسمو,ɪsmʊ
من,mɪn
ابو,əbʊ
الشوش,aʃ:u:ʃ
لابو,ləbʊ
ياسين,ja:si:n
هدي,ha:də
حاجة,ħa:dʒə
ترجعلي,tɪɾdʒʌʕlɪ
و,w
مهو,məhʊ
انتا,ɪntə
اللي,əl:i
تحاسبني,tħa:sɪbni
عليها,ʕəle:hə
يسير,jesi:ɾ
حتى,ħət:ə
شغلي,ʃʊɣli
مع,məʕ
درويش,deɾwiʃ
شي,ʃeɪ
راجعلي,ɾaːdʒɪʕlɪ
ومو,mu:
انتا,ɪntə
اللي,əl:i
تحاسبني,tħa:sɪbni
عليه,ʕəle:
يبو,jəbʊ
الشوش,əʃ:u:ʃ
انا,ənə
اتعلمت,ətʕəl:mt
ف,fɪ
دكانك,dʊk:a:nək
كيف,kei:f
اسوي,əsəw:i
شوني,ʃo:nɪ
بيدي,bjəd:ɪ
درويش,deɾwiʃ
علمني,ʕəlːɪmni
كيف,kei:f
اخلي,əxəl:ɪ
الشون,əʃ:o:n
لعبة,lɪʕbə
فيدي,fjəd:ɪ
اتعلمت,ətʕəl:mt
عندك,ʕɪndək
كيف,kei:f
ابيع,əbiːʕ
الشون,əʃ:o:n
لكن,la:kɪn
درويش,deɾwiʃ
علمني,ʕəlːɪmni
كيف,kei:f
اندر,ənədːɪɾ
الشون,əʃ:o:n
واضرب,wədˤɾʊb
على,ʕələ
راس,ɾa:s
العدو,əlʕədʊ
اللي,əl:i
بدو,bɪdːʊ
يضربني,jɪdˤɾʊbni
عطية,ʕətˤi:jʌt
المعلم,almʕl:ɪm
درويش,deɾwiʃ
تنرد,tɪnɾʌd
يواد,jew:ad
ايش,e:ʃ
الكلام,əlkəla:m
دا,da:
ي,jə
سمعة,sʊmʕə
مارضيت,ma:ɾɪdˤjʌt
تاهخدها,ta:xʊdhə
ي,jə
معلم,mʕl:ɪm
واعتبرتها,wʌʕtəbəɾəthə
اهانة,ɪha:nə
البنت,əlbɪnt
المفروفة,əlməfɾu:fə
هدي,ha:də
تبغى,tɪbɣə
تعلمنا,tʕəlːmnə
الادب,əlʔədəb
ولا,wel:ə
كيف,ke:f
وكمان,wkəmaːn
حملتني,ħʌm:əlʌtnɪ
رسالة,ɾɪsal:ə
اوصلها,əwəsˤ:ɪlhə
للمعلم,lɪlmʕʌl:ɪm
درويش,deɾwiʃ
والله,wəɫ:ɔ
عال,ʕa:l
كمان,kəma:n
تبغى,tɪbɣə
ترسل,tɪɾsɪl
رسايل,ɾəsa:jɪl
ي,jə
واد,wa:d
كمل,kəm:ɪl
قول,gu:l
ايش,e:ʃ
قالت,gaːlət
ي,jə
معلم,mʕl:ɪm
درويش,deɾwiʃ
قالتلي,ga:lʌtli
قول,gu:l
لدرويش,lɪdeɾwiʃ
دم,dʌm
سيدي,si:dɪ
لساتو,lɪs:a:tʊ
حار,ħa:ɾ
ومو,wmʊ
انا,ənə
اللي,əl:i
حخليه,ħəxəl:i:h
يبرد,jɪbɾəd
اسار,əs:a:ɾ
فلبنت,fɪlbɪnt
هادي,ha:dɪ
هدي,ha:də
اتجننت,ətʒən:ənət
ولا,wel:ə
كيف,ke:f
يعني,jeʕnə
حمدان,ħʌmda:n
الرسالة,əɾːɪsaːlə
وصلت,wɪsˤlət
والمغزى,wəlməɣzə
مفهوم,məfhu:m
هدي,ha:də
ايش,e:ʃ
تبغى,tɪbə
تقول,dgu:l
ي,jə
معلم,mʕl:ɪm
بتزكرنا,bɪtzəkɪɾna:
بأبوها,bəʔbuːhə
سليمان,sle:ma:n
ي,jə
معلم,mʕl:ɪm
حمدان,ħʌmda:n
اهلا,əhlən
ابو,əbu
لطيفة,lətˤi:fə
نورت,nəw:əɾʌt
جدة,dʒɪdːə
اهلا,əhlən
وسهلا,wəsəhlən
سلامة,səla:mət
الاسفار,əlʔəsfa:ɾ
ي,jə
سيدي,si:dɪ
فين,fe:n
درويش,deɾwiʃ
ي,jə
واد,wa:d
ي,jə
حمدان,ħʌmda:n
شيبة,ʃe:ba
بس,bəs
ي,jə
واد,wa:d
اهجد,əhdʒʊd
درويش,deɾwiʃ
ماهو,ma:hʊ
في,fi:
ي,jə
معلم,mʕl:ɪm
تبغاني,tɪbɣaːnɪ
اوصله,əwʌsˤ:ɪl:ʊ
شي,ʃei
احنا,ɪħnə
غلطنا,ɣlɪtˤnə
عشان,ʕəʃa:n
صدقنا,sˤəd:ʌgnə
الواد,əlwa:d
ال,əl
الصرنقع,əsˤ:əɾʌŋgəʕ
دا,da:
تؤمرنا,tʊʔmʊɾnə
بإيش,bʔe:ʃ
لازم,la:zɪm
يرجع,jɪɾdʒəʕ
يتعلم,jɪtʕʌlːʌm
من,mɪn
جديد,dʒədi:d
يرجع,jɪɾdʒəʕ
بزرة,bɪzɾə
جاك,dʒaːk
الهرج,əlhəɾʒ
وجب,wədʒʌb
ي,jə
معلم,mʕl:ɪm
وتاخد,wʊtaːxʊd
منو,mɪn:u
غلة,ɣʌl:et
السوق,əs:u:g
ولعد,wlʌʕʌd
يندر,jɪndʊɾ
السوق,əs:u:g
وزا,wɪza:
ندر,nədəɾ
يندر,jɪndʊɾ
مع,məʕ
اللي,əl:i
احطو,əħʊtˤ:ʊ
انا,ənə
فاهم,fa:hɪm
طيب,tˤej:ɪb
حنحط,ħənħʊtˤ
مين,min
بدالو,bədaːlʊ
ي,jə
معلم,mʕl:ɪm
اسماعيل,ɪsma:ʕi:l
ها,ha:
ي,jə
واد,wa:d
ي,jə
سمعة,sʊmʕə
انتا,ɪntə
قدها,gəd:əhə
قدها,gəd:əhə
ي,jə
معلم,mʕl:ɪm
خلاص,xəla:sˤ
ي,jə
حبيبي,ħəbi:bɪ
ماصار,ma:sˤa:ɾ
شي,ʃei
ما,ma:
تزعل,tzʌʕ:ɪl
نفسك,nəfsʌk
الا,ɪl:ə
الا,ɪl:ə
صار,sˤa:ɾ
شي,ʃei
يعني,jeʕnə
انا,ənə
ي,jə
امي,ʊm:ɪ
اتعنى,ətʕənːə
و,w
اروح,aːɾuːħ
الين,əle:n
السوق,əs:u:g
عشان,ʕəʃa:n
اشتريلو,əʃtəɾiːlʊ
هدية,hʌdi:jə
يقوم,jɪguːm
يكسر,jɪksɪɾ
بخاطري,bɪxa:tˤɾɪ
كدا,kɪdə
بالله,bɪl:a:
انا,ənə
ايش,e:ʃ
سويتلو,səwːe:tʌlːʊ
طيب,tˤej:ɪb
عطر,ʕɪtˤɪɾ
تجيب,tɪʒi:b
لابوك,ləbuːk
عطر,ʕɪtˤɪɾ
و,w
انتا,ɪntə
تعرف,tɪʕɾɪf
انو,ɪn:u
هدي,ha:də
الاشياء,ələʃjaʔ
ما,ma:
تمر,tmʊɾ
عليه,ʕəle:
هذي,ha:ðɪ
الاشياء,ələʃjaʔ
تعتبر,tʊʕtəbəɾ
عيب,ʕeːb
قدام,gʊd:a:m
صبيانو,sˤʊbjaːnʊ
ي,jə
امي,ʊm:i
حطي,ħʊtˤːɪ
نفسك,nəfsɪk
مكاني,məkaːnɪ
ابغى,əbɣə
اجيب,ədʒiːb
لابويا,lɪʔ̃əbuːjə
هدية,hʌdi:jə
ماشفت,maːʃʊft
حاجة,ħa:dʒə
عليها,ʕəle:hə
القيمة,lgiːmə
الا,ɪl:ə
غير,ɣe:ɾ
دا,da:
الشي,ʃ:ei
طب,tˤəb
حتى,ħət:ə
لو,ləw
ماعجبو,maːʕədʒəbətʊ
يقلي,jɪgʊlːɪ
ماعجبني,maːʕədʒəbnɪ
يضربني,jɪdˤɾʊbni
كف,kʌf
لطشني,lʌtˤəʃnɪ
كف,kʌf
قدام,gʊd:a:m
حمدان,ħʌmda:n
خلاص,xəla:sˤ
ي,jə
حبيبي,ħəbi:bɪ
ازا,ɪzə
هو,hʊw:ə
مايبغاه,maːjɪbɣaː
انا,ənə
اخدو,a:xdʊ
بس,bəs
اهم,əhʌm
شي,ʃei
انك,ɪn:ʌk
انتا,ɪntə
ماتزعل,maːz:əʕːɪl
نفسك,nəfsʌk
يحتجلك,jɪħtədʒlɪk
منتي,məntɪ
كمان,kəma:n
تبي,tɪbɪ
تزبطي,z:əbɪtˤɪ
نفسك,nəfsʌk
بس,bəs
العطر,əlʕɪtˤɪɾ
اتكبكب,ətkʌbkʌb
لمن,ləm:ən
لسعني,ləsʌʕnɪ
ايوا,i:wə
خلاص,xəla:sˤ
حعطيكي,ħəʕtˤikɪ
هوا,hʊw:ə
دا,da:
كلام,kəlaːm
دا,də
وانتا,wɪntə
ايش,e:ʃ
لك,lʌk
اذا,əða
كان,kɑn
صح,sˤʌħ
ولا,wel:ə
لاا,lʌʔ
بعدين,bəʕdei:n
انتا,ɪntə
ليه,le:
قاعد,ga:ʕɪd
تسأل,tɪsʔ̃ʌl
عنو,ʕənːʊ
كتير,kəti:ɾ
اصلا,əsˤlən
انا,ənə
حبيت,ħəbe:t
اتطمن,ətˤ:m:ʌn
قلت,gʊlt
يمكن,jɪmkɪn
يدك,jʌdːək
التقيلة,ətːəgiːlə
اللي,əl:i
جات,dʒaːt
على,ʕələ
وشو,wəʃːʊ
داك,daːk
اليوم,əljo:m
زعلته,zəʕːələtʊ
منك,mɪn:ʌk
هادا,ha:də
شي,ʃei
بيننا,beːnənə
احنا,ɪħnə
اصحاب,əsˤħaːb
انتا,ɪntə
لا,laː
تدخل,dːəxːl
نفسك,nəfsʌk
فيه,fiː
خليك,xəlːiːk
في,f
شغلك,ʃʊɣlʌk
يواد,jəwaːd
فاهم,fa:hɪm
تومرني,tʊʔmʊɾnɪ
يامعلم,jəmʕlːim
حاضر,ħaːdˤɪɾ
ابشر,əbʃɪɾ
آا,aː
سمبل,sʊmbʊl
هلا,hələ
يامعلم,jəmʕəlːɪm
حلاوتك,ħələwtək
طازة,tˤa:zə
وطرية,wtˤəɾɪj:ə
اليوم,əljo:m
ولا,wel:ə
كيف,ke:f
اكيد,əkiːd
طرية,tˤəɾɪj:ə
زي,zəɪ
طراوة,tˤəɾaːwʌt
اياديكم,əjaːdiːkʊm
علي,ʕəlej:ə
ياسيدي,jəsiːdɪ
الله,aɫ:ɔ
عليك,ʕəle:k
وعشان,wʊʕəʃaːn
تفضل,tɪfdˤəl
يدنا,jədːənə
واشواننا,wəʃwaːnənə
طرية,tˤəɾɪj:ə
عليك,ʕəle:k
ومانكسرلك,wmaːnksɪɾlək
راصك,ɾaːsˤʌk
هات,ha:t
المعلوم,əlmʌʕlu:m
يلا,jʌɫːə
لو,ləw
كان,kɑn
معايا,məʕa:jə
ماكان,maːkaːn
عطلتك,ʕʌtˤ:ʌltək
يامعلم,jəmʕəlːɪm
اعطيني,əʕtˤiːnɪ
فرصة,fʊɾsˤə
يومين,jo:me:n
تلاتة,təlaːtə
اجيبو,ədʒibʊ
لعندك,lʕɪndək
ولعند,wʊlʕɪnd
المعلم,almʕl:ɪm
درويش,deɾwiʃ
كلامك,kəla:mʌk
دا,daː
ماينفعني,maːjɪnfəʕni
طلع,tˤʌlːɪʕ
فلوسك,fʊluːsək
يلا,jʌɫːə
وهات,wha:t
المعلوم,əlmʌʕlu:m
ولا,wel:ə
افشفشلك,əfəʃfɪʃlək
راصك,ɾasˤʌk
بلغازي,bɪlɣaːzɪ
الغازي,əlɣaːzɪ
سار,sˤa:ɾ
يهدد,jhʌdːɪd
الناس,ənːaːs
بالظلم,bɪðˤːʊlm
والعدوان,wəlʕɪdwaːn
ياخسارتك,jaxsa:ɾtɪk
ياجدة,jədʒɪdːə
ياشيخ,jʃe:x
سالم,sa:lɪm
الله,aɫ:ɔ
يرضى,jɪɾdˤə
عليك,ʕəle:k
قول,gʊl
لخوك,ləxu:k
اسماعيل,ɪsma:ʕi:l
يعطيني,jɪʕtˤiːnɪ
مهلة,mʊhlə
ولا,wel:ə
انا,ənə
ادبر,ədəbːɪɾ
الفلوس,əlfɪluːs
يا,jə
سمبل,sʊmbʊl
اللي,əl:i
واقف,wa:gɪf
قدامك,gʊdːaːmək
دا,da:
لو,ləw
افتكر,əftəkəɾ
انو,ɪn:u:
له,lu:
اخ,ax
رباه,ɾʌb:a:
عالقرآن,ʕəlqʊɾʔaːn
ماكان,ma:ka:n
يستجري,jɪstədʒɾɪ
انه,ɪn:u
ويرفع,jɪɾfəʕ
شونه,ʃo:nʊ
على,ʕələ
الناس,ənːaːs
على,ʕələ
شان,ʃaːn
يرهبهم,ɪɾhɪbhʊm
لا,la:
هو,hʊwːə
ولا,wel:ə
معلمه,mʕəlːɪmʊ
درويش,deɾwiʃ
اصحى,əsˤħə
تجيب,tʒi:b
سيرة,siːɾət
المعلم,əlmʕl:ɪm
درويش,deɾwiʃ
على,ʕələ
لسانك,lsa:nək
فاهم,fa:hɪm
ياشيبة,jəʃe:bə
واصحى,wa:sˤħə
انتا,ɪntə
تتكلم,tɪtkəlːəm
زي,zəɪ
كدا,kɪdə
مع,məʕ
الشيخ,əʃ:e:x
فاهم,fa:hɪm
ولا,wel:ə
لا,la:
اعرف,əʕɾɪf
انتا,ɪntə
بتكلم,bɪtkəlːɪm
مين,mi:n
شيخ,ʃe:x
سالم,sa:lɪm
هدا,ha:də
شغلي,ʃʊɣli
لا,la:
ماهو,ma:hʊ
شغل,ʃʊɣʊl
هدا,ha:də
خصارة,xsˤaːɾə
خصارة,xsˤaːɾə
دنيا,dʊnjə
ودين,wdiːn
هدا,ha:də
طريق,tˤəɾiːg
انا,ənə
اخترتو,əxtəɾtʊ
